"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","27.153","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:35:22.715164"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.704","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:33:39.787101"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.574","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:33:27.044515"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.354","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:33:22.38593"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.658","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:33:19.687291"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.902","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:35:16.619097"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","19.641","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:33:21.371275"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","21.316","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:33:24.450015"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.955","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:33:21.84428"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","20.838","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:33:43.151471"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.191","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:33:28.24846"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.369","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:33:30.485027"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.682","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:33:32.087159"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.001","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:33:28.190562"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.767","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:33:25.219029"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","25.86","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:33:32.179415"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.319","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:33:18.967256"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.739","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:33:36.392578"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","binary","RSPM","8.385","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:33:20.443685"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.425","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:33:32.988716"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.553","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:35:00.886586"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.774","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:33:42.978837"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","21.64","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:33:24.950141"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.908","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:33:43.583809"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","28.031","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:34:47.019616"
