"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp","run_link"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.634","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:13:57.859622","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","21.023","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:14:03.425825","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.333","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:14:12.368146","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.321","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:13:54.022046","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.168","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:13:59.704493","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.961","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:13:51.411227","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.4","1.17.8","binary","RSPM","1.832","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:13:34.527262","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.4","1.17.8","source","RSPM","19.764","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:14:02.340809","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.44","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:14:04.792401","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.5","NA","NA","NA","4.021","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:13:39.221761","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.5","1.17.8","binary","RSPM","2.398","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:13:38.301702","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.5","NA","NA","NA","3.929","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:13:52.81958","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.4","1.15.4","source","RSPM","18.638","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:14:02.413069","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.37","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:14:06.637922","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.5","1.17.8","source","RSPM","21.56","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:14:05.244077","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.4","1.15.4","binary","RSPM","2.715","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:13:36.688023","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628169937"
